method,split,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
runtime_monitor_replanner,mechanics_ood_shift,10,0.367851,0.007230,0.303385,0.010107,0.253264,0.008219,0.251042,0.014808,0.153125,0.020403,0.258681,0.037127,0.003472,0.001757,0.215930,0.005821,0.391742,0.015916,-0.081153,0.016428,0.602083,0.031058,0.416319,0.022467
runtime_monitor_replanner,nominal_abstraction,10,0.442226,0.001012,0.281171,0.003688,0.241214,0.003354,0.317708,0.013583,0.127778,0.002223,0.034375,0.009649,0.000000,0.000000,0.191345,0.001904,0.375324,0.005058,0.025108,0.004602,0.437153,0.019100,0.428472,0.015723
runtime_monitor_replanner,object_affordance_transfer,10,0.386925,0.004973,0.292204,0.008270,0.232356,0.007072,0.281250,0.012712,0.158333,0.014883,0.240278,0.037780,0.001736,0.001522,0.217830,0.004759,0.369168,0.012856,-0.041338,0.012748,0.607292,0.029586,0.500694,0.022176
runtime_monitor_replanner,predicate_noise_shift,10,0.403235,0.004803,0.294403,0.008673,0.230606,0.006889,0.254861,0.014778,0.131250,0.013641,0.186458,0.028425,0.000347,0.000681,0.204686,0.005138,0.374522,0.012646,-0.019522,0.012452,0.545486,0.032185,0.503472,0.030955
runtime_monitor_replanner,recovery_cost_pressure,10,0.376560,0.008702,0.298762,0.013348,0.242618,0.011027,0.225000,0.011909,0.158333,0.023470,0.263194,0.055537,0.002431,0.001772,0.226232,0.009033,0.376974,0.020443,-0.066424,0.020447,0.596528,0.044463,0.446181,0.030389
semantic_model_predictive_planner,combined_adversarial_abstraction,10,0.538274,0.001777,0.226328,0.003772,0.184425,0.003233,0.373611,0.014390,0.781597,0.006988,0.323958,0.032765,0.050694,0.006590,0.370976,0.003267,0.153958,0.004302,0.118408,0.004552,0.832292,0.010448,0.626389,0.016111
semantic_model_predictive_planner,geometry_tolerance_shift,10,0.596741,0.002170,0.203179,0.002185,0.164939,0.001348,0.436111,0.014390,0.764583,0.003903,0.073958,0.016042,0.012847,0.004189,0.351389,0.001758,0.134222,0.003251,0.212557,0.003613,0.777431,0.006764,0.736806,0.010727
semantic_model_predictive_planner,language_ambiguity_shift,10,0.606688,0.002343,0.195906,0.002406,0.162041,0.001684,0.445486,0.017337,0.747222,0.007014,0.064236,0.012722,0.009028,0.003544,0.342429,0.002159,0.135436,0.003788,0.232572,0.003981,0.756250,0.008948,0.731597,0.009356
semantic_model_predictive_planner,mechanics_ood_shift,10,0.563479,0.002527,0.219026,0.001731,0.191210,0.001590,0.421528,0.015292,0.757986,0.005276,0.121528,0.030889,0.017708,0.005016,0.344888,0.002131,0.160830,0.003788,0.153920,0.003571,0.775694,0.007259,0.629514,0.010198
semantic_model_predictive_planner,nominal_abstraction,10,0.640902,0.000784,0.174272,0.000663,0.155494,0.000571,0.503125,0.022168,0.750347,0.001588,0.008681,0.005671,0.001736,0.001134,0.340407,0.000506,0.120113,0.001037,0.284898,0.001307,0.752083,0.001815,0.739236,0.003580
semantic_model_predictive_planner,object_affordance_transfer,10,0.580399,0.001476,0.209426,0.002012,0.173567,0.001930,0.431944,0.019388,0.758681,0.005098,0.112500,0.030235,0.013542,0.003856,0.349251,0.001971,0.145211,0.002800,0.187279,0.003228,0.772222,0.006668,0.700347,0.009077
semantic_model_predictive_planner,predicate_noise_shift,10,0.604918,0.002504,0.197939,0.002163,0.161374,0.001602,0.435417,0.009950,0.757639,0.005052,0.070139,0.019083,0.008333,0.003077,0.347613,0.002181,0.132058,0.003728,0.227927,0.004012,0.765972,0.007043,0.742708,0.007622
semantic_model_predictive_planner,recovery_cost_pressure,10,0.578983,0.003513,0.205927,0.002376,0.176053,0.002255,0.401736,0.015421,0.768056,0.007014,0.128125,0.023781,0.028472,0.004737,0.368486,0.002600,0.137708,0.005384,0.178023,0.005314,0.796528,0.008971,0.705556,0.010727
vla_direct_policy,combined_adversarial_abstraction,10,0.262449,0.010313,0.429634,0.018128,0.331451,0.014039,0.113889,0.013181,0.071528,0.026922,0.298264,0.060416,0.002778,0.002833,0.129238,0.010237,0.547302,0.027023,-0.279663,0.026761,0.314931,0.053923,0.119792,0.032038
vla_direct_policy,geometry_tolerance_shift,10,0.318906,0.001711,0.446308,0.002365,0.346421,0.002102,0.177431,0.011807,0.007292,0.006208,0.111458,0.023388,0.000347,0.000681,0.083294,0.001828,0.566000,0.003397,-0.224359,0.003722,0.019097,0.008004,0.017361,0.008548
vla_direct_policy,language_ambiguity_shift,10,0.366754,0.002608,0.393114,0.006766,0.310282,0.005919,0.179861,0.018756,0.009028,0.010306,0.079514,0.017702,0.000347,0.000681,0.093928,0.004452,0.487577,0.009098,-0.124105,0.008813,0.115972,0.027131,0.097917,0.024970
vla_direct_policy,mechanics_ood_shift,10,0.280641,0.003992,0.452665,0.006195,0.378060,0.006089,0.140972,0.011442,0.037153,0.016548,0.145139,0.027407,0.001736,0.001829,0.092989,0.004806,0.603753,0.009580,-0.293163,0.009860,0.061111,0.017548,0.049306,0.018563
vla_direct_policy,nominal_abstraction,10,0.402927,0.001169,0.379229,0.000858,0.322182,0.001134,0.236806,0.017537,0.000347,0.000681,0.014583,0.004033,0.000000,0.000000,0.080165,0.000189,0.483098,0.001623,-0.082666,0.002246,0.001042,0.001040,0.001389,0.001111
vla_direct_policy,object_affordance_transfer,10,0.316001,0.003394,0.428970,0.006873,0.340704,0.005605,0.153125,0.010565,0.026042,0.009201,0.122222,0.040565,0.001042,0.001040,0.095633,0.003960,0.546104,0.009623,-0.218274,0.009742,0.102083,0.023558,0.069792,0.018330
vla_direct_policy,predicate_noise_shift,10,0.347497,0.001778,0.416352,0.004321,0.325919,0.003823,0.154861,0.015918,0.025694,0.010256,0.097222,0.036635,0.001389,0.001111,0.091038,0.003471,0.521885,0.005491,-0.166885,0.005144,0.062153,0.018498,0.057986,0.018653
vla_direct_policy,recovery_cost_pressure,10,0.302899,0.006054,0.430715,0.011388,0.350345,0.008637,0.134722,0.010033,0.044097,0.021546,0.167014,0.050527,0.002083,0.001815,0.102492,0.007888,0.552761,0.015064,-0.242211,0.015490,0.117361,0.032933,0.083333,0.030688
