method,seed,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage,damage_budget
grounded_geometric_tamp,7,48,0.566112,0.024476,0.212321,0.018499,0.173242,0.013156,0.222222,0.040494,0.798611,0.099646,0.357639,0.050530,0.048611,0.040054,0.368210,0.018454,0.142169,0.033817,0.162750,0.035518,0.847222,0.072023,0.000000,0.000000,0.000000
grounded_geometric_tamp,8,48,0.573942,0.029240,0.219602,0.020929,0.179953,0.014555,0.246528,0.055012,0.788194,0.100016,0.350694,0.067554,0.048611,0.043452,0.364233,0.019434,0.141553,0.038880,0.164029,0.042442,0.836806,0.075019,0.000000,0.000000,0.000000
grounded_geometric_tamp,9,48,0.556498,0.027834,0.223435,0.020971,0.183528,0.015645,0.274306,0.049106,0.763889,0.104228,0.239583,0.059883,0.055556,0.042766,0.358619,0.018705,0.161773,0.039085,0.141645,0.041024,0.819444,0.075861,0.000000,0.000000,0.000000
physics_aware_tamp,0,48,0.629020,0.026721,0.177134,0.016828,0.145847,0.011892,0.312500,0.055555,0.861111,0.093966,0.281250,0.060080,0.052083,0.042570,0.414825,0.017115,0.087192,0.029241,0.247046,0.037264,0.913194,0.057533,0.000000,0.000000,0.000000
physics_aware_tamp,1,48,0.634077,0.026352,0.168223,0.014217,0.140487,0.010585,0.399306,0.047390,0.868056,0.094280,0.312500,0.067122,0.062500,0.051121,0.420124,0.015849,0.077700,0.026047,0.258072,0.034706,0.930556,0.051314,0.000000,0.000000,0.000000
physics_aware_tamp,2,48,0.652721,0.027694,0.173082,0.017692,0.139446,0.011705,0.319444,0.051314,0.871528,0.094421,0.246528,0.051457,0.045139,0.038588,0.417381,0.018451,0.069075,0.030537,0.276632,0.038191,0.916667,0.063034,0.000000,0.000000,0.000000
physics_aware_tamp,3,48,0.615028,0.026789,0.169129,0.018190,0.140618,0.013342,0.378472,0.051227,0.871528,0.094421,0.329861,0.049106,0.041667,0.037037,0.418874,0.018642,0.093928,0.030859,0.238094,0.037582,0.913194,0.065960,0.000000,0.000000,0.000000
physics_aware_tamp,4,48,0.612878,0.026997,0.166788,0.016271,0.136216,0.011875,0.302083,0.051150,0.857639,0.094295,0.267361,0.065057,0.052083,0.041444,0.411320,0.016235,0.107051,0.029145,0.232811,0.034788,0.909722,0.057508,0.000000,0.000000,0.000000
physics_aware_tamp,5,48,0.621896,0.024231,0.169705,0.014751,0.139552,0.010920,0.340278,0.059130,0.857639,0.093792,0.347222,0.075235,0.059028,0.047140,0.418433,0.015242,0.091047,0.025999,0.244748,0.032491,0.916667,0.052378,0.000000,0.000000,0.000000
physics_aware_tamp,6,48,0.641810,0.031576,0.182838,0.020920,0.150315,0.014850,0.340278,0.070781,0.861111,0.093966,0.291667,0.060350,0.027778,0.035516,0.408578,0.022170,0.084181,0.036510,0.255934,0.044830,0.888889,0.078617,0.000000,0.000000,0.000000
physics_aware_tamp,7,48,0.648159,0.027595,0.174162,0.017149,0.141951,0.011619,0.329861,0.052818,0.861111,0.094468,0.364583,0.075751,0.055556,0.049912,0.416371,0.018119,0.072378,0.029477,0.270065,0.037465,0.916667,0.059957,0.000000,0.000000,0.000000
physics_aware_tamp,8,48,0.641339,0.024793,0.172619,0.016698,0.142467,0.012327,0.305556,0.051772,0.854167,0.093608,0.232639,0.065057,0.062500,0.054697,0.419685,0.016594,0.079875,0.028498,0.261543,0.035518,0.916667,0.055021,0.000000,0.000000,0.000000
physics_aware_tamp,9,48,0.642439,0.025424,0.171194,0.017202,0.140604,0.011554,0.347222,0.064395,0.871528,0.094421,0.270833,0.044172,0.045139,0.036053,0.420668,0.017479,0.075097,0.029469,0.265232,0.035280,0.916667,0.061515,0.000000,0.000000,0.000000
semantic_model_predictive_planner,0,48,0.510215,0.023976,0.218499,0.020099,0.178842,0.014373,0.368056,0.052340,0.774306,0.103159,0.336806,0.050996,0.062500,0.048266,0.370806,0.017515,0.178433,0.038542,0.092314,0.037328,0.836806,0.071135,0.000000,0.000000,0.000000
semantic_model_predictive_planner,1,48,0.514227,0.024357,0.217331,0.023858,0.179272,0.017451,0.375000,0.051005,0.774306,0.107646,0.298611,0.055838,0.059028,0.046125,0.369350,0.019134,0.176490,0.041499,0.094806,0.039417,0.833333,0.079017,0.000000,0.000000,0.000000
semantic_model_predictive_planner,2,48,0.525370,0.023362,0.213678,0.021360,0.172649,0.015734,0.368056,0.056679,0.788194,0.099542,0.309028,0.072126,0.062500,0.058053,0.378883,0.018860,0.158984,0.036416,0.115498,0.036451,0.850694,0.072290,0.000000,0.000000,0.000000
semantic_model_predictive_planner,3,48,0.531016,0.026677,0.233140,0.023179,0.190783,0.017200,0.371528,0.056076,0.767361,0.105986,0.236111,0.043316,0.041667,0.040688,0.364840,0.021428,0.167187,0.045567,0.105198,0.043246,0.809028,0.087532,0.000000,0.000000,0.000000
semantic_model_predictive_planner,4,48,0.519467,0.020296,0.211422,0.016854,0.171520,0.011993,0.402778,0.061387,0.805556,0.096450,0.430556,0.063656,0.048611,0.037618,0.374135,0.017559,0.163566,0.031823,0.108711,0.029680,0.854167,0.065698,0.000000,0.000000,0.000000
semantic_model_predictive_planner,5,48,0.515390,0.024946,0.227763,0.022943,0.183002,0.016055,0.336806,0.062650,0.774306,0.101774,0.284722,0.063749,0.034722,0.032198,0.365808,0.020684,0.179169,0.040495,0.093720,0.038471,0.809028,0.083663,0.000000,0.000000,0.000000
semantic_model_predictive_planner,6,48,0.528154,0.022276,0.229705,0.020410,0.187608,0.014323,0.409722,0.052340,0.774306,0.101308,0.312500,0.058863,0.038194,0.031124,0.367631,0.019780,0.166064,0.039039,0.105442,0.035758,0.812500,0.079984,0.000000,0.000000,0.000000
semantic_model_predictive_planner,7,48,0.517064,0.023021,0.216794,0.019228,0.175459,0.013477,0.385417,0.060080,0.791667,0.099428,0.326389,0.056679,0.045139,0.034716,0.372722,0.017548,0.169929,0.036104,0.102616,0.034511,0.836806,0.072453,0.000000,0.000000,0.000000
semantic_model_predictive_planner,8,48,0.525975,0.021923,0.219909,0.018861,0.180333,0.014206,0.340278,0.059130,0.784722,0.098211,0.322917,0.050918,0.062500,0.052038,0.373499,0.016700,0.162269,0.034631,0.108386,0.033811,0.847222,0.065848,0.000000,0.000000,0.000000
semantic_model_predictive_planner,9,48,0.506691,0.022983,0.213879,0.019358,0.175494,0.014582,0.378472,0.060538,0.781250,0.099264,0.381944,0.051429,0.052083,0.044737,0.376550,0.018031,0.178043,0.036884,0.092302,0.035299,0.833333,0.072133,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,0,48,0.385163,0.032287,0.326363,0.030554,0.262503,0.024064,0.416667,0.058358,0.506944,0.096266,0.250000,0.049595,0.006944,0.013611,0.291978,0.024528,0.390859,0.054855,-0.124094,0.055828,0.513889,0.094217,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,1,48,0.404055,0.034526,0.315310,0.033297,0.257389,0.028308,0.413194,0.052369,0.534722,0.107413,0.281250,0.063896,0.017361,0.022264,0.300249,0.026266,0.362014,0.060652,-0.095250,0.061521,0.552083,0.102546,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,2,48,0.399170,0.033347,0.336204,0.031773,0.267191,0.026976,0.468750,0.058079,0.496528,0.097501,0.267361,0.069962,0.010417,0.011534,0.291915,0.025881,0.382638,0.057034,-0.112477,0.059888,0.506944,0.093777,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,3,48,0.390200,0.028331,0.280383,0.027664,0.228677,0.022725,0.468750,0.052967,0.600694,0.094170,0.409722,0.077175,0.024306,0.021726,0.311605,0.021786,0.355004,0.045362,-0.087110,0.046430,0.625000,0.083386,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,4,48,0.392679,0.026619,0.312697,0.025315,0.250852,0.021188,0.413194,0.058350,0.531250,0.085158,0.336806,0.057943,0.024306,0.030741,0.300824,0.021276,0.372937,0.042476,-0.104811,0.045310,0.555556,0.078013,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,5,48,0.403167,0.028239,0.289703,0.027258,0.232097,0.022255,0.472222,0.061000,0.593750,0.093244,0.427083,0.067320,0.024306,0.025714,0.313725,0.022724,0.343265,0.046867,-0.074569,0.048946,0.618056,0.083646,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,6,48,0.420237,0.025084,0.295502,0.023871,0.238225,0.019281,0.458333,0.059562,0.597222,0.087986,0.416667,0.059163,0.013889,0.013170,0.314100,0.022297,0.326741,0.041360,-0.059599,0.042101,0.611111,0.080988,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,7,48,0.395836,0.022299,0.295986,0.026790,0.237280,0.021493,0.465278,0.054118,0.586806,0.089138,0.444444,0.069687,0.010417,0.011534,0.310341,0.021203,0.354539,0.039301,-0.086187,0.039981,0.597222,0.084139,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,8,48,0.417411,0.020559,0.279177,0.023022,0.226574,0.018520,0.489583,0.054508,0.628472,0.084926,0.486111,0.054877,0.017361,0.020027,0.328615,0.021319,0.315245,0.036491,-0.048996,0.037203,0.645833,0.076353,0.000000,0.000000,0.000000
learned_failure_classifier_tamp,9,48,0.419245,0.024336,0.270331,0.021731,0.219111,0.018239,0.388889,0.058628,0.645833,0.087334,0.454861,0.054796,0.024306,0.021726,0.327719,0.020813,0.309185,0.037109,-0.042949,0.037424,0.670139,0.074386,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,0,48,0.510879,0.009471,0.205376,0.005943,0.170485,0.006688,0.493056,0.056679,0.871528,0.094421,0.385417,0.068883,0.045139,0.038588,0.351826,0.008950,0.147187,0.007821,0.119578,0.010400,1.000000,0.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,1,48,0.497027,0.015049,0.198958,0.008257,0.166972,0.009012,0.479167,0.052038,0.871528,0.094421,0.472222,0.079811,0.055556,0.042766,0.349153,0.008674,0.160330,0.011361,0.106433,0.015467,1.000000,0.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,2,48,0.496643,0.010018,0.196588,0.004244,0.160657,0.005945,0.510417,0.069055,0.864583,0.094128,0.395833,0.061226,0.069444,0.056575,0.355481,0.007719,0.158347,0.008374,0.111814,0.013174,1.000000,0.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,3,48,0.505618,0.010777,0.203641,0.006369,0.169414,0.007195,0.472222,0.059429,0.861111,0.093966,0.399306,0.063587,0.059028,0.050060,0.349456,0.008589,0.153303,0.009857,0.114591,0.011555,1.000000,0.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,4,48,0.485401,0.015585,0.197353,0.007809,0.162079,0.007416,0.486111,0.054008,0.868056,0.094280,0.357639,0.070131,0.055556,0.044924,0.344901,0.008540,0.173744,0.013647,0.094382,0.015736,1.000000,0.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,5,48,0.482911,0.015525,0.187388,0.006748,0.154485,0.006767,0.506944,0.068747,0.871528,0.094421,0.451389,0.048591,0.055556,0.045965,0.360217,0.008132,0.167823,0.014029,0.100872,0.016878,1.000000,0.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,6,48,0.498240,0.012704,0.194894,0.008091,0.162556,0.007221,0.545139,0.053926,0.868056,0.094280,0.420139,0.062271,0.069444,0.058223,0.360106,0.009141,0.154393,0.009875,0.112750,0.013579,1.000000,0.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,7,48,0.481794,0.013575,0.185937,0.005364,0.153464,0.006227,0.503472,0.061121,0.871528,0.094421,0.555556,0.071694,0.062500,0.053826,0.364326,0.009170,0.167078,0.012598,0.101273,0.015513,1.000000,0.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,8,48,0.502667,0.012360,0.203651,0.007677,0.168301,0.007555,0.437500,0.055555,0.868056,0.094280,0.343750,0.071080,0.069444,0.054008,0.347054,0.008307,0.156139,0.010557,0.110110,0.013194,1.000000,0.000000,0.000000,0.000000,0.000000
proposed_abstraction_failure_audit_v4,9,48,0.483542,0.017750,0.190715,0.007136,0.158725,0.007196,0.500000,0.057542,0.875000,0.094551,0.479167,0.065698,0.062500,0.052038,0.354894,0.008124,0.169146,0.014710,0.097090,0.018215,1.000000,0.000000,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,0,48,0.239791,0.019798,0.478530,0.018871,0.375600,0.016872,0.555556,0.055306,0.125000,0.038293,0.180556,0.042210,0.003472,0.006806,0.226313,0.009396,0.672505,0.033785,-0.405740,0.038399,0.128472,0.037970,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,1,48,0.229355,0.019215,0.498850,0.016808,0.392519,0.016113,0.545139,0.051227,0.072917,0.032121,0.197917,0.048296,0.000000,0.000000,0.213606,0.008609,0.699069,0.033046,-0.432306,0.037522,0.072917,0.032121,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,2,48,0.247988,0.018736,0.481654,0.016451,0.369686,0.015973,0.600694,0.056496,0.121528,0.039794,0.222222,0.056991,0.000000,0.000000,0.225791,0.009880,0.662538,0.032183,-0.392377,0.036219,0.121528,0.039794,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,3,48,0.240115,0.021283,0.456796,0.025345,0.359636,0.021565,0.524306,0.070131,0.156250,0.052744,0.281250,0.046804,0.010417,0.020417,0.234633,0.013346,0.658538,0.035514,-0.390644,0.039446,0.166667,0.054154,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,4,48,0.234888,0.017494,0.494218,0.015891,0.384648,0.014445,0.524306,0.072779,0.079861,0.029162,0.211806,0.053042,0.003472,0.006806,0.217666,0.007861,0.688251,0.030200,-0.420125,0.034081,0.083333,0.029179,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,5,48,0.235321,0.017841,0.476407,0.016046,0.368638,0.015446,0.472222,0.066917,0.121528,0.036053,0.256944,0.047608,0.003472,0.006806,0.225086,0.009203,0.674646,0.028821,-0.405951,0.033081,0.125000,0.035737,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,6,48,0.254585,0.020170,0.452819,0.015498,0.356133,0.015132,0.552083,0.057670,0.180556,0.043316,0.326389,0.065937,0.003472,0.006806,0.236698,0.010521,0.636855,0.032392,-0.369712,0.036170,0.184028,0.042663,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,7,48,0.249994,0.015880,0.466192,0.016278,0.363273,0.015627,0.552083,0.061635,0.142361,0.036379,0.326389,0.052340,0.003472,0.006806,0.232486,0.009255,0.650450,0.026876,-0.382098,0.031355,0.145833,0.035902,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,8,48,0.229640,0.016879,0.497213,0.014185,0.388509,0.015041,0.541667,0.062658,0.079861,0.030741,0.229167,0.038447,0.000000,0.000000,0.215606,0.007937,0.695274,0.029302,-0.429025,0.033528,0.079861,0.030741,0.000000,0.000000,0.000000
risk_bounded_abstraction_failure_audit_v5,9,48,0.248085,0.021908,0.464820,0.027776,0.363395,0.022259,0.552083,0.056844,0.149306,0.059354,0.302083,0.062776,0.010417,0.020417,0.235814,0.016302,0.650932,0.043617,-0.384696,0.045789,0.159722,0.060709,0.000000,0.000000,0.000000
llm_tamp_failure_reasoning,0,48,0.497778,0.023932,0.206338,0.019819,0.168397,0.013267,0.406250,0.052293,0.788194,0.098587,0.368056,0.041218,0.048611,0.037618,0.353144,0.016841,0.183944,0.035117,0.092703,0.034042,0.836806,0.069793,0.000000,0.000000,0.020000
llm_tamp_failure_reasoning,1,48,0.525433,0.026646,0.217438,0.024578,0.179078,0.017711,0.333333,0.055874,0.791667,0.105431,0.340278,0.074683,0.031250,0.031751,0.352948,0.022273,0.158667,0.042656,0.117978,0.041603,0.822917,0.089887,0.000000,0.000000,0.020000
llm_tamp_failure_reasoning,2,48,0.508199,0.022869,0.191994,0.020091,0.154579,0.013457,0.322917,0.055369,0.819444,0.098151,0.350694,0.065420,0.055556,0.049912,0.360826,0.017761,0.162285,0.032236,0.117333,0.032780,0.875000,0.068431,0.000000,0.000000,0.020000
llm_tamp_failure_reasoning,3,48,0.508862,0.025721,0.206062,0.020716,0.170468,0.015819,0.378472,0.043213,0.784722,0.099170,0.319444,0.054877,0.052083,0.046804,0.356346,0.018994,0.174075,0.037689,0.104444,0.037495,0.836806,0.073103,0.000000,0.000000,0.020000
llm_tamp_failure_reasoning,4,48,0.496736,0.026009,0.192439,0.020138,0.157126,0.014512,0.371528,0.058552,0.802083,0.099026,0.402778,0.070698,0.069444,0.054877,0.357921,0.016119,0.178435,0.033001,0.099997,0.034873,0.871528,0.060927,0.000000,0.000000,0.020000
llm_tamp_failure_reasoning,5,48,0.500086,0.021504,0.187125,0.018037,0.153586,0.013474,0.420139,0.051457,0.815972,0.096893,0.444444,0.066917,0.062500,0.050187,0.363281,0.014537,0.168819,0.028638,0.109227,0.028205,0.878472,0.059752,0.000000,0.000000,0.020000
llm_tamp_failure_reasoning,6,48,0.489170,0.023494,0.183500,0.019285,0.152610,0.014700,0.375000,0.061129,0.809028,0.098707,0.486111,0.082435,0.059028,0.050996,0.358817,0.016447,0.181231,0.032502,0.096325,0.032635,0.868056,0.067357,0.000000,0.000000,0.020000
llm_tamp_failure_reasoning,7,48,0.485587,0.023297,0.198334,0.021730,0.161102,0.015221,0.364583,0.045263,0.788194,0.100957,0.402778,0.058223,0.052083,0.041444,0.352090,0.017993,0.192579,0.034097,0.085016,0.033015,0.840278,0.072105,0.000000,0.000000,0.020000
llm_tamp_failure_reasoning,8,48,0.494079,0.023851,0.196866,0.020935,0.160480,0.014829,0.343750,0.049981,0.802083,0.098547,0.395833,0.050187,0.055556,0.046983,0.358151,0.016621,0.179898,0.034345,0.095595,0.032388,0.857639,0.068077,0.000000,0.000000,0.020000
llm_tamp_failure_reasoning,9,48,0.509445,0.027462,0.223590,0.025105,0.182084,0.018174,0.322917,0.052744,0.784722,0.101060,0.270833,0.072541,0.020833,0.025035,0.343583,0.022441,0.183655,0.043617,0.093524,0.042807,0.805556,0.090373,0.000000,0.000000,0.020000
runtime_monitor_replanner,0,48,0.350198,0.023870,0.258574,0.031431,0.204628,0.026301,0.194444,0.035516,0.361111,0.083858,0.434028,0.073907,0.024306,0.027492,0.267823,0.017870,0.343024,0.045175,-0.076259,0.049108,0.753472,0.074703,0.000000,0.000000,0.020000
runtime_monitor_replanner,1,48,0.321844,0.022490,0.223449,0.021526,0.174066,0.016003,0.211806,0.046381,0.427083,0.075281,0.479167,0.062752,0.024306,0.021726,0.270990,0.013912,0.352831,0.035765,-0.086067,0.038130,0.805556,0.053569,0.000000,0.000000,0.020000
runtime_monitor_replanner,2,48,0.346103,0.019789,0.262293,0.018666,0.200622,0.015216,0.204861,0.053486,0.322917,0.072399,0.413194,0.059155,0.017361,0.022264,0.259580,0.012593,0.347159,0.029888,-0.076998,0.033445,0.753472,0.047639,0.000000,0.000000,0.020000
